formula,composition,e0025,e05,e10,band0,band1,spacegroup,mattersim_energy_per_atom,mattersim_e_hull,vasp_energy_per_atom,dft_e_hull
K5Br4_s013,K5Br4,0.0,33.368901230648525,33.94618337406216,34.17064410024725,0.0,166,-2.8834943418149597,0.024319617836563445,-2.8631300425925925,0.04722570707407403
Ba2P1_s001,Ba2P1,63.23360426152521,58.28417645183782,57.90862135309249,62.05875205340813,0.0,166,-3.895776112874349,0.023755967617034468,-3.9066333822222226,-0.0045425963888892085
Cs4Br3_s036,Cs4Br3,0.0,37.39586699823543,38.748490063003466,36.53678339552567,0.0,166,-2.7164430164155506,0.016806843734922694,-2.7182493528571428,0.025719811724138175
Rb8O3_s018,Rb8O3,47.29775665777497,48.88027371316921,44.15951152938149,49.86298930581042,50.1185290235692,166,-2.8237457275390625,-0.004283003373579675,-2.812048186060606,0.006200758848485144
Y4P3_s001,Y4P3,0.0,30.87545192543837,29.68689354760601,0.0,29.251440932215697,166,-7.384860084170387,0.01873802003406322,-7.394519872380952,0.01397823809523846
Y2S1_s034,Y2S1,0.0,0.0,35.755746586432444,4.195200001449333,77.79269211806937,166,-6.994027879503038,0.010164472791883483,-6.987646882222222,0.031418375555555045
Y2S1_s077,Y2S1,43.98179109681793,37.51224826234039,59.4424778110469,24.217571931988164,46.53585855758569,166,-6.994608985053168,0.009583367241753571,-6.989815386666667,0.029249871111110437
Ba6O5_s015,Ba6O5,0.0,20.668161608905365,20.45139302316349,20.95824157495622,0.0,164,-5.520422848788175,0.04277555509047115,-5.507265249545455,0.043196726818180764
K6Br5_s004,K6Br5,0.0,28.012947773682207,28.508809981990417,28.69921355261265,0.0,164,-2.931741541082209,0.017599528486078153,-2.9083367727272726,0.042927086090908784
K6Cl5_s004,K6Cl5,0.0,28.770122884450505,29.326616071670884,29.583360593965413,0.0,164,-3.197522596879439,0.019491228190334997,-3.1741369863636364,0.04562841336363599
Li6P1_s020,Li6P1,22.17101001419958,23.90307044887417,16.012786031978006,15.386841457405422,27.95682334800737,164,-2.7659089224679128,0.042419569832938375,-2.764311731071429,0.04327856249999984
Li7N1_s008,Li7N1,61.15615796775224,20.240727622948505,21.425612236511853,38.77809402366457,74.95885962300528,164,-2.8608241081237793,0.04632377624511719,-2.86079860125,0.03484203083333348
Na6Cl5_s002,Na6Cl5,0.0,27.62696039785132,27.62696039785132,28.175544762958687,0.0,164,-3.17252592606978,0.02325103499672654,-3.1710713254545455,0.02929238758620656
Sc3N2_s004,Sc3N2,0.0,27.058000825821203,44.31709564223554,0.0,43.22050708323593,164,-8.666605377197266,-0.016281621596393236,-8.643923478000001,0.024210324117646564
Sc6N5_s003,Sc6N5,5.188650915003683,3.3456544936805965,22.9318317960428,0.0,21.380959715976623,164,-8.987498890269887,-0.015080145973573877,-8.951095493636364,0.035538039906416685
Y3N2_s002,Y3N2,0.0,47.3705828282676,46.84588825596786,35.90702461694926,43.83127747114662,164,-8.537065887451172,0.02197742462158203,-8.573251594,-0.00929307933333412
Rb6Br5_s008,Rb6Br5,0.0,26.471432525978813,27.13347209647829,27.22583595597821,0.0,164,-2.8588529066606,0.014398964968594719,-2.8513397881818183,0.029005745681817796
Sr2N1_s001,Sr2N1,56.48732556089172,59.18784004462516,56.880190272320384,62.91366811365632,0.0,164,-4.4387251536051435,1.4834933805829564e-06,-4.414795106666666,0.036637699999999995
Na6Br5_s002,Na6Br5,0.0,26.871952866641323,26.58390487333403,27.35669172941456,0.0,164,-2.8678829886696557,0.028436769138683093,-2.86961153,0.03007776031347964
Ca3P1_s046,Ca3P1,0.0,68.10597591436502,71.21472711162137,61.38898046212877,66.26439993202627,164,-3.4647910594940186,-0.06955595811208104,-3.3766082875,0.026156128750000285
Y5N4_s006,Y5N4,0.0,8.328185381278969,28.58763641776373,0.0,25.14677342891348,164,-8.788247002495659,0.005491998460557923,-8.800536475555555,-0.00352380518518558
Ca3P1_s002,Ca3P1,59.60903901222174,65.50154185942716,68.05955204098741,66.04523394187952,56.830116175090886,164,-3.4647915363311768,-0.06955643494923924,-3.42314472,-0.020380303749999662
Y3N2_s007,Y3N2,0.0,46.718606949825855,46.20591017333582,30.101696627573027,43.524853173555975,164,-8.53135986328125,0.027683448791504972,-8.564940909,-0.0009823943333344687
Na9Cl7_s016,Na9Cl7,0.0,37.16829520063652,37.04041620980208,38.03665261380179,0.0,164,-3.0866096019744873,0.03842499852180481,-3.089480536875,0.04046423543103472
Rb6Cl5_s008,Rb6Cl5,0.0,27.287909029868217,28.008505736768573,28.130786323449687,0.0,164,-3.1175641146573154,0.012689547105269039,-3.104730266363636,0.03205272204545473
Y3P2_s007,Y3P2,0.0,43.06945067870876,40.315666520102575,0.0,39.26785630656956,164,-7.304850769042969,0.034959602355956854,-7.301958849,0.0437374616666677
Ba6S5_s022,Ba6S5,0.0,22.969822196325023,22.385035713290502,22.415070138636956,0.0,164,-4.7753823020241475,0.034132491458546355,-4.7788403181818175,0.03765881272727256
Ba2N1_s002,Ba2N1,0.0,58.227798846972114,56.57337714008569,57.055536079933646,0.0,164,-4.440441767374675,1.0596381292415913e-06,-4.444830706666667,0.018448066666666207
Y5P4_s002,Y5P4,26.527283980495618,28.12569814457881,25.60716580287251,14.96815631392815,23.303706204308973,164,-7.425631205240886,0.013404528299966856,-7.414027838888889,0.029360160370370814
K5Br4_s002,K5Br4,0.0,30.92442540648399,30.97570180506507,34.13567885816552,0.0,164,-2.8834925757514105,0.024321383900112625,-2.8628141155555555,0.04754163411111101
Y3P2_s001,Y3P2,0.0,43.32261233160797,39.67302247707629,0.0,40.18372308466886,164,-7.309998321533203,0.029812049865722834,-7.327528556,0.018167754666667868
Ba2P1_s025,Ba2P1,58.2338577476799,58.25904497686308,57.35505957946009,59.39109286351078,0.0,164,-3.895776112874349,0.023755967617034468,-3.9035597699999998,-0.0014689841666664094
K6I5_s011,K6I5,0.0,26.295772995372342,26.702146949879506,26.856166867312197,0.0,164,-2.6300619298761543,0.01603151451457574,-2.605491806363636,0.04834487972727297
Y2S1_s035,Y2S1,40.48943077033351,60.388139925294205,66.35877390396897,58.61898281611663,67.19618429694138,164,-6.995373407999675,0.0088189442952471,-6.988772133333334,0.030293124444443542
K6I5_s008,K6I5,0.0,26.037761650950408,26.44020137476787,26.60542430620458,0.0,164,-2.630064010620117,0.016029433770612833,-2.6054755436363637,0.04836114245454537
Na6I5_s006,Na6I5,0.0,24.930747517999524,24.538011982129408,25.69898441573446,0.0,164,-2.5363903045654297,0.029584039341319812,-2.527796087272727,0.04098722122257037
